HOSTNAME,SOURCE_SITE,SOURCE_DEVICE_TYPE,SOURCE_REGION,SOURCE_INTERFACE_ID,SLOT,TYPE,SOURCE_BUNDLE_INTERFACE,SOURCE_IPV4_ADDRESS,SOURCE_IPV6_ADDRESS,SEGMENT,TARGET_SITE,TARGET_DEVICE_TYPE,TARGET_HOSTNAME,TARGET_REGION,TARGET_INTERFACE_ID,,TARGET_BUNDLE_INTERFACE,TARGET_IPV4_ADDRESS,TARGET_IPV6_ADDRESS,ISIS_AREA,CHANGE ISIS,IS_BACK_TO_BACK_LINK,VIA_LOT_1,IS_VIA_ACI,IS_IOSXRV,IS_INFRA,IS_INTERCONNECT,ER4L,REMARKS,,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/0/0/30,,,Bundle-Ether51,10.205.195.74/30,2405:B800:1::1C5/127,,PLDT Binakayan,PE-2,KAWS0016CIBE002,NL,0/0/0/0,,Bundle-Ether31,10.205.195.73/30,2405:B800:1::1C4/127,1000,,,YES,,,YES,,NO,NCS4K,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/1/0/0,,,Bundle-Ether32,10.205.192.13/30,2405:B800:1::6/127,PLDT Jupiter P2 PLDT Tambo P2,PLDT Tambo,P-2,PRQ06653CIBP002,GMM,0/1/0/0,,Bundle-Ether31,10.205.192.14/30,2405:B800:1::7/127,1000,,,,,,YES,,YES,,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/1/0/35,,,Bundle-Ether36,10.205.192.206/30,2405:B800:1::87/127,,PLDT Jupiter,PE-2,MKTG3610CIBE002,GMM,0/7/0/0,,Bundle-Ether32,10.205.192.205/30,2405:B800:1::86/127,1000,,,,,,YES,,NO,,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/1/0/1,,,Bundle-Ether38,10.205.193.10/30,2405:B800:1::A5/127,,PLDT Alabang,PE-2,MTP00H22CIBE002,GMM,0/0/0/12,,Bundle-Ether31,10.205.193.9/30,2405:B800:1::A4/127,1000,,,,,,YES,,YES,,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/1/0/34,,,Bundle-Ether40,10.205.193.42/30,2405:B800:1::B5/127,,PLDT South Taguig,PE-2,TAG00H21CIBE002,GMM,0/0/0/12,,Bundle-Ether31,10.205.193.41/30,2405:B800:1::B4/127,1000,,,,,,YES,,YES,,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/1/0/2,,,Bundle-Ether41,,,,PLDT Jupiter,ASBR-1,MKTG3610CIRO001,GMM,0/7/0/1,,Bundle-Ether36,,,1000,,,,,,YES,,NO,DO NOT USE IP ADDRESS,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/1/0/33,,,Bundle-Ether43,,,,PLDT Jupiter,ASBR-2,MKTG3610CIRO002,GMM,0/7/0/1,,Bundle-Ether36,,,1000,,,,,,YES,,NO,DO NOT USE IP ADDRESS,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/1/0/3,,,Bundle-Ether46,10.205.194.26/30,2405:B800:1::12D/127,,PLDT Subic,PE-2,SUB00527CIBE002,NL,0/0/0/0,,Bundle-Ether31,10.205.194.25/30,2405:B800:1::12C/127,1000,,,YES,,,YES,,NO,NCS4K,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/1/0/32,,,Bundle-Ether48,10.205.194.58/30,2405:B800:1::13D/127,,PLDT SFP,PE-2,SFPN3827CIBE0002,NL,0/0/0/0,,Bundle-Ether31,10.205.194.57/30,2405:B800:1::13C/127,1000,,,YES,,,YES,,NO,NCS4K,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/1/0/4,,,Bundle-Ether50,10.205.194.90/30,2405:B800:1::14D/127,,SMART 6114 Baliuag,PE-2,BAL06114CIBE002,NL,0/0/0/12,,Bundle-Ether31,10.205.194.89/30,2405:B800:1::14C/127,1000,,,YES,,,YES,,NO,NCS4K,PHASE 1,,,,,,,
